alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1744733928.5002,elite,811.21444702148,1744727589.2748,"AS4134 CHINANET-BACKBONE",CHINANET-BACKBONE,Shanghai,Asia,AS,China,CN,,false,Chinanet,31.2222,121.4581,false,"Chinanet JS",false,Shanghai,success,Asia/Shanghai,,1744733930,1744733928.5002,8089,http,49.67.128.182:8089,false,811.21444702148,1,16,5.8823529411765,49.67.128.182
true,1744678926.6901,transparent,5639.5318867774,1744380643.1679,"AS141084 PT Chacha Networking System",CHACHANET-AS-ID,Palopo,Asia,AS,Indonesia,ID,,false,"PT Chacha Networking System",-3.00742,120.185,false,,false,"South Sulawesi",success,Asia/Makassar,,1744380865,1744678926.6901,1080,http,103.156.86.131:1080,false,1914.1466617584,358,3219,10.00838691641,103.156.86.131
true,1744576874.0249,elite,1255.658864975,1744575329.2567,"AS24138 China TieTong Telecommunications Corporation",CTTNET,Beijing,Asia,AS,China,CN,,false,"China TieTong Telecommunications Corporation",39.911,116.395,false,"North Star Information Hi.tech Ltd. Co",false,Beijing,success,Asia/Shanghai,,1744576876,1744576874.0249,3389,http,111.132.16.17:3389,false,1255.658864975,1,6,14.285714285714,111.132.16.17
true,1744519024.54,transparent,4236.1343124232,1743415566.6785,"AS137967 Digicon Telecommunication Ltd",DIGICON-ISP-AS,Barishal,Asia,AS,Bangladesh,BD,,false,MiME,22.7413,90.4357,false,"Confidence Power Bogra Unit-2 Limited",false,"Barisal Division",success,Asia/Dhaka,8200,1744020385,1744519024.54,8469,http,103.161.69.217:8469,false,1872.4956512451,2832,10152,21.81146025878,103.161.69.217
true,1744463036.3367,elite,2688.0899906158,1744450921.7427,"AS34984 Superonline Iletisim Hizmetleri A.S.",TELLCOM-AS,Istanbul,Asia,AS,Türkiye,TR,,false,"Tellcom Main Network Statement",41.0105,28.9345,false,,false,Istanbul,success,Europe/Istanbul,34098,1744450923,1744463036.3367,3310,http,176.33.13.54:3310,false,264.18232917786,75,73,50.675675675676,176.33.13.54
true,1744454003.6332,elite,3430.761836824,1744450485.1033,"AS42807 CIZGI TELEKOMUNIKASYON ANONIM SIRKETI",AEROTEK-AS,Istanbul,Asia,AS,Turkey,TR,,true,"Cizgi Telekomunikasyon Anonim Sirketi",41.0082,28.9784,false,"Cizgi Telekomunikasyon Anonim Sirketi",false,Istanbul,success,Europe/Istanbul,34122,1744450486,1744454003.6332,1453,http,141.98.206.21:1453,false,179.34322357178,21,19,52.5,141.98.206.21
true,1744392326.4228,transparent,8672.018710436,1732652891.7076,"AS18403 FPT Telecom Company",FPT-AS-AP,"Ho Chi Minh City",Asia,AS,Vietnam,VN,,false,"FPT Telecom Company",10.822,106.6257,false,"Vietnam Internet Network Information Center",true,"Ho Chi Minh",success,Asia/Ho_Chi_Minh,700000,1744156376,1744392326.4228,6868,http,118.70.16.27:6868,false,4075.2925872803,5768,138714,3.992192799103,118.70.16.27
true,1744328645.9345,elite,3316.8855464622,1743961764.1102,"AS24940 Hetzner Online GmbH",HETZNER-AS,Falkenstein,Europe,EU,Germany,DE,,true,"Hetzner Online GmbH",50.4777,12.3649,false,"Hetzner Online GmbH",false,Saxony,success,Europe/Berlin,08223,1744241368,1744328645.9345,2033,http,78.46.212.196:2033,false,1642.4736976624,73,1458,4.7681254082299,78.46.212.196
true,1744299056.4048,transparent,6738.6122533599,1716480233.9934,"AS28287 America-NET Ltda.","America-NET Ltda.","Presidente Prudente","South America",SA,Brazil,BR,,false,"America-NET Ltda.",-22.1231,-51.3881,false,"America-NET Ltda",false,"São Paulo",success,America/Sao_Paulo,19060,1744156824,1744299056.4048,7171,http,189.124.91.145:7171,false,4553.0474185944,15959,396196,3.8720869575766,189.124.91.145
true,1744057329.3703,anonymous,1100.2314503064,1743416049.6596,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"DigitalOcean, LLC",50.1169,8.6837,false,"DigitalOcean, LLC",false,Hesse,success,Europe/Berlin,60313,1744020975,1744057329.3703,3128,http,164.90.242.76:3128,false,318.19486618042,2203,4597,32.397058823529,164.90.242.76
